trans_date_trans_time,cc_num,merchant,category,amt,gender,city,state,zip,lat,long,city_pop,job,trans_num,unix_time,merch_lat,merch_long,is_fraud,trans_hour,trans_day_of_week,trans_month,age_at_transaction,distance_km,cc_num_masked,rejection_reason,run_id
2020-06-22 15:08:48,4906628655840914250,fraud_Dickinson-Rempel,misc_pos,8.1,M,Key West,FL,33040,24.6557,-81.3824,32891,Town planner,39567c8e75665e151bae64ce8bfd9374,1371913728,23.914057,-80.946347,0,15,0,6,33,93.56,693e778e2364b987156d8d13d0772ff79354ac255b771dd207b1f2e9f05455c8,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-22 15:25:00,4906628655840914250,"fraud_Little, Gutmann and Lynch",shopping_net,7.15,M,Key West,FL,33040,24.6557,-81.3824,32891,Town planner,03d171e4947e9892f4af8d38e15046d8,1371914700,24.298694,-80.396969,0,15,0,6,33,107.34,693e778e2364b987156d8d13d0772ff79354ac255b771dd207b1f2e9f05455c8,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-22 16:07:02,4225990116481262579,"fraud_Hyatt, Russel and Gleichner",health_fitness,25.81,M,Honokaa,HI,96727,20.0827,-155.488,4878,Physiotherapist,190a64a304a6e8666ddfe8056bb042b6,1371917222,19.179452,-155.61411,0,16,0,6,53,101.3,5849933e8f20d5783aa66769a64273d059aed22c6364537c22110f2660d584df,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-22 16:38:48,4906628655840914250,fraud_Lynch Ltd,shopping_pos,9.67,M,Key West,FL,33040,24.6557,-81.3824,32891,Town planner,f392f093a5136fd9961cd74c5ea81690,1371919128,23.85843,-82.291826,0,16,0,6,33,127.9,693e778e2364b987156d8d13d0772ff79354ac255b771dd207b1f2e9f05455c8,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-22 18:16:25,4906628655840914250,fraud_Johns Inc,entertainment,16.47,M,Key West,FL,33040,24.6557,-81.3824,32891,Town planner,cd945088c3197e5597fe5c9ffcc26508,1371924985,24.913599,-81.294139,0,18,0,6,33,30.03,693e778e2364b987156d8d13d0772ff79354ac255b771dd207b1f2e9f05455c8,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-22 20:48:09,4906628655840914250,fraud_Johns Inc,entertainment,13.41,M,Key West,FL,33040,24.6557,-81.3824,32891,Town planner,4e5eb26b67070d7ac7a1f50afc8b1384,1371934089,24.058641,-82.130228,0,20,0,6,33,100.73,693e778e2364b987156d8d13d0772ff79354ac255b771dd207b1f2e9f05455c8,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-22 21:36:04,4906628655840914250,fraud_Leannon-Ward,food_dining,18.99,M,Key West,FL,33040,24.6557,-81.3824,32891,Town planner,88e46d8003b551770c59cac6d9968ebc,1371936964,25.097167,-81.140989,0,21,0,6,33,54.8,693e778e2364b987156d8d13d0772ff79354ac255b771dd207b1f2e9f05455c8,invalid_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-22 22:32:37,4225990116481262579,fraud_Breitenberg LLC,travel,6.12,M,Honokaa,HI,96727,20.0827,-155.488,4878,Physiotherapist,722b244f0708654d1fd878ce531b9bea,1371940357,20.521579,-155.843302,0,22,0,6,53,61.27,5849933e8f20d5783aa66769a64273d059aed22c6364537c22110f2660d584df,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-23 00:10:08,4742883543039288059,"fraud_Heller, Gutmann and Zieme",grocery_pos,81.31,F,Paauilo,HI,96776,20.0271,-155.3697,1490,"Scientist, research (maths)",1f95176e5cdaa63231b231b785a9fa3a,1371946208,19.579498,-154.72047,0,0,1,6,29,84.21,a2b6d36b7b2751e0e58cfde3cd0d1f201c0eb337b58543a78fe9937a2d7ebf51,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-23 06:56:13,4906628655840914250,"fraud_Bernier, Volkman and Hoeger",misc_net,7.07,M,Key West,FL,33040,24.6557,-81.3824,32891,Town planner,3d22033ae978fe96dcf8cbf5ca1ff465,1371970573,24.85305,-82.111378,0,6,1,6,33,76.81,693e778e2364b987156d8d13d0772ff79354ac255b771dd207b1f2e9f05455c8,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-23 08:39:09,4225990116481262579,fraud_Miller-Hauck,grocery_pos,95.83,M,Honokaa,HI,96727,20.0827,-155.488,4878,Physiotherapist,aa970f9c42067f7c615d4e2adee8c180,1371976749,19.500768,-155.270376,0,8,1,6,53,68.6,5849933e8f20d5783aa66769a64273d059aed22c6364537c22110f2660d584df,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-23 11:06:11,4742883543039288059,fraud_Bailey-Morar,grocery_pos,101.93,F,Paauilo,HI,96776,20.0271,-155.3697,1490,"Scientist, research (maths)",c5ddf225200d33817e58b628ad994b80,1371985571,20.139668,-155.683402,0,11,1,6,29,35.07,a2b6d36b7b2751e0e58cfde3cd0d1f201c0eb337b58543a78fe9937a2d7ebf51,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-23 11:07:34,4225990116481262579,fraud_Douglas-White,entertainment,16.63,M,Honokaa,HI,96727,20.0827,-155.488,4878,Physiotherapist,3860c8ba5bd40dd09dd05ccbc635bf90,1371985654,19.36453,-156.156262,0,11,1,6,53,106.16,5849933e8f20d5783aa66769a64273d059aed22c6364537c22110f2660d584df,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-23 12:57:33,4225990116481262579,"fraud_Weber, Thiel and Hammes",kids_pets,89.02,M,Honokaa,HI,96727,20.0827,-155.488,4878,Physiotherapist,142e866b2f73125f953cc9e3c9a8ede5,1371992253,20.579704,-155.642238,0,12,1,6,53,57.56,5849933e8f20d5783aa66769a64273d059aed22c6364537c22110f2660d584df,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-23 13:19:26,4742883543039288059,fraud_Dare-Gibson,health_fitness,25.59,F,Paauilo,HI,96776,20.0271,-155.3697,1490,"Scientist, research (maths)",ff94d1f9e96e2f429170a75ece28ba65,1371993566,20.64703,-154.639917,0,13,1,6,29,102.67,a2b6d36b7b2751e0e58cfde3cd0d1f201c0eb337b58543a78fe9937a2d7ebf51,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-23 14:19:03,4906628655840914250,fraud_Pollich LLC,home,61.13,M,Key West,FL,33040,24.6557,-81.3824,32891,Town planner,7e4ce299736ab42843ce6d7d33364b1c,1371997143,25.057254,-82.02386,0,14,1,6,33,78.63,693e778e2364b987156d8d13d0772ff79354ac255b771dd207b1f2e9f05455c8,invalid_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-23 14:45:32,4906628655840914250,"fraud_Runolfsdottir, Mueller and Hand",entertainment,23.03,M,Key West,FL,33040,24.6557,-81.3824,32891,Town planner,ec66e5591a27bb10e6961251ac2a42be,1371998732,24.666762,-80.548523,0,14,1,6,33,84.27,693e778e2364b987156d8d13d0772ff79354ac255b771dd207b1f2e9f05455c8,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-23 18:30:33,4742883543039288059,fraud_Waelchi Inc,kids_pets,53.92,F,Paauilo,HI,96776,20.0271,-155.3697,1490,"Scientist, research (maths)",c681f17154d3a26cecdc89b3cde5835a,1372012233,20.90863,-154.38038,0,18,1,6,29,142.23,a2b6d36b7b2751e0e58cfde3cd0d1f201c0eb337b58543a78fe9937a2d7ebf51,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-23 19:42:25,4742883543039288059,fraud_Breitenberg-Hermiston,kids_pets,15.72,F,Paauilo,HI,96776,20.0271,-155.3697,1490,"Scientist, research (maths)",284818f250ebb13364e347b04442d200,1372016545,19.408324,-155.027701,0,19,1,6,29,77.56,a2b6d36b7b2751e0e58cfde3cd0d1f201c0eb337b58543a78fe9937a2d7ebf51,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-23 20:31:16,4906628655840914250,fraud_Kertzmann LLC,health_fitness,93.06,M,Key West,FL,33040,24.6557,-81.3824,32891,Town planner,a943eca159d4dad605d99e14ab6008b2,1372019476,24.542049,-81.372812,0,20,1,6,33,12.67,693e778e2364b987156d8d13d0772ff79354ac255b771dd207b1f2e9f05455c8,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-23 20:37:58,4742883543039288059,fraud_Kihn Inc,shopping_pos,1.07,F,Paauilo,HI,96776,20.0271,-155.3697,1490,"Scientist, research (maths)",824f591056b19b98e033c654904c48b2,1372019878,20.025225,-154.375992,0,20,1,6,29,103.81,a2b6d36b7b2751e0e58cfde3cd0d1f201c0eb337b58543a78fe9937a2d7ebf51,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-23 20:59:33,4906628655840914250,fraud_Ruecker-Mayert,kids_pets,133.73,M,Key West,FL,33040,24.6557,-81.3824,32891,Town planner,90433f4e8689ccb51f5bd131888f0703,1372021173,23.829736,-80.970244,0,20,1,6,33,100.9,693e778e2364b987156d8d13d0772ff79354ac255b771dd207b1f2e9f05455c8,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-23 21:06:38,4906628655840914250,fraud_Stark-Koss,home,37.82,M,Key West,FL,33040,24.6557,-81.3824,32891,Town planner,88e481f351c2f2f44d55b2696bb67982,1372021598,25.056049,-81.021663,0,21,1,6,33,57.5,693e778e2364b987156d8d13d0772ff79354ac255b771dd207b1f2e9f05455c8,invalid_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-23 23:17:59,4906628655840914250,fraud_Watsica LLC,personal_care,67.8,M,Key West,FL,33040,24.6557,-81.3824,32891,Town planner,0f596e4617d15cc64e202eef11fd39e6,1372029479,24.082381,-82.27261,0,23,1,6,33,110.43,693e778e2364b987156d8d13d0772ff79354ac255b771dd207b1f2e9f05455c8,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-24 05:02:48,4225990116481262579,"fraud_Cremin, Hamill and Reichel",misc_pos,3.4,M,Honokaa,HI,96727,20.0827,-155.488,4878,Physiotherapist,ea501b2262585c318dfc7d54e0ecfd66,1372050168,19.748516,-155.952674,0,5,2,6,53,61.16,5849933e8f20d5783aa66769a64273d059aed22c6364537c22110f2660d584df,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-24 10:37:45,4906628655840914250,"fraud_Rodriguez, Yost and Jenkins",misc_net,4.68,M,Key West,FL,33040,24.6557,-81.3824,32891,Town planner,36b22db95e86c45443da047722dd0156,1372070265,24.169855,-82.251177,0,10,2,6,33,103.23,693e778e2364b987156d8d13d0772ff79354ac255b771dd207b1f2e9f05455c8,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-24 14:28:45,4906628655840914250,fraud_Kihn-Schuster,food_dining,27.42,M,Key West,FL,33040,24.6557,-81.3824,32891,Town planner,348a9e71f41dd3c8ae134092287e82ee,1372084125,25.480045,-82.081956,0,14,2,6,33,115.61,693e778e2364b987156d8d13d0772ff79354ac255b771dd207b1f2e9f05455c8,invalid_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-24 15:21:01,4906628655840914250,fraud_Jakubowski Inc,home,31.26,M,Key West,FL,33040,24.6557,-81.3824,32891,Town planner,bcc8018411b3e8105e488f21240f49e1,1372087261,25.194742,-82.0469,0,15,2,6,33,89.9,693e778e2364b987156d8d13d0772ff79354ac255b771dd207b1f2e9f05455c8,invalid_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-24 17:51:44,4906628655840914250,fraud_Bruen-Yost,misc_pos,32.85,M,Key West,FL,33040,24.6557,-81.3824,32891,Town planner,d7a41df9379a38102a0f32cefe021acf,1372096304,25.070279,-81.998631,0,17,2,6,33,77.4,693e778e2364b987156d8d13d0772ff79354ac255b771dd207b1f2e9f05455c8,invalid_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-24 18:35:11,4906628655840914250,fraud_Schuppe-Schuppe,food_dining,15.04,M,Key West,FL,33040,24.6557,-81.3824,32891,Town planner,0a0373f05fee1d61269133c50eaf00bb,1372098911,24.150689,-81.851218,0,18,2,6,33,73.53,693e778e2364b987156d8d13d0772ff79354ac255b771dd207b1f2e9f05455c8,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-24 18:35:30,4742883543039288059,fraud_Reichel Inc,entertainment,21.6,F,Paauilo,HI,96776,20.0271,-155.3697,1490,"Scientist, research (maths)",3de6e73e1e0a5a49447b17d734618335,1372098930,20.819528,-155.16296100000002,0,18,2,6,29,90.71,a2b6d36b7b2751e0e58cfde3cd0d1f201c0eb337b58543a78fe9937a2d7ebf51,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-24 22:50:28,4742883543039288059,"fraud_Lehner, Reichert and Mills",misc_pos,7.78,F,Paauilo,HI,96776,20.0271,-155.3697,1490,"Scientist, research (maths)",751b2a51422c4c553a12c9a105450514,1372114228,20.067874,-155.922296,0,22,2,6,29,57.9,a2b6d36b7b2751e0e58cfde3cd0d1f201c0eb337b58543a78fe9937a2d7ebf51,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-24 23:24:16,4742883543039288059,fraud_Lynch-Wisozk,home,8.65,F,Paauilo,HI,96776,20.0271,-155.3697,1490,"Scientist, research (maths)",0b54c75d7c39a594339c88f7e8e6cf66,1372116256,20.895028,-155.522137,0,23,2,6,29,97.81,a2b6d36b7b2751e0e58cfde3cd0d1f201c0eb337b58543a78fe9937a2d7ebf51,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-25 02:32:28,4906628655840914250,fraud_Koelpin and Sons,misc_net,49.33,M,Key West,FL,33040,24.6557,-81.3824,32891,Town planner,134c78ff5f0e3a1080439b0e2d382164,1372127548,23.916619,-80.409738,0,2,3,6,33,128.34,693e778e2364b987156d8d13d0772ff79354ac255b771dd207b1f2e9f05455c8,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-25 14:23:23,4906628655840914250,"fraud_Kerluke, Kertzmann and Wiza",misc_net,1.04,M,Key West,FL,33040,24.6557,-81.3824,32891,Town planner,0ac5a041fd53e7d3114ccd19ef655b37,1372170203,24.894079,-82.260204,0,14,3,6,33,92.5,693e778e2364b987156d8d13d0772ff79354ac255b771dd207b1f2e9f05455c8,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-25 17:53:40,4906628655840914250,fraud_Langworth LLC,personal_care,20.32,M,Key West,FL,33040,24.6557,-81.3824,32891,Town planner,1521097f0a0105af47db7f45bd02d332,1372182820,25.02044,-82.16690799999999,0,17,3,6,33,88.95,693e778e2364b987156d8d13d0772ff79354ac255b771dd207b1f2e9f05455c8,invalid_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-25 19:32:20,4906628655840914250,fraud_Beier-Hyatt,shopping_pos,7.6,M,Key West,FL,33040,24.6557,-81.3824,32891,Town planner,66fe6634bf36a921c817997e282121ce,1372188740,23.980391,-80.51665,0,19,3,6,33,115.47,693e778e2364b987156d8d13d0772ff79354ac255b771dd207b1f2e9f05455c8,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-25 22:14:24,4906628655840914250,"fraud_Reichert, Rowe and Mraz",shopping_net,2.95,M,Key West,FL,33040,24.6557,-81.3824,32891,Town planner,e2a74148bbb336bf7fab7abbc4b0b976,1372198464,24.535276,-82.097003,0,22,3,6,33,73.48,693e778e2364b987156d8d13d0772ff79354ac255b771dd207b1f2e9f05455c8,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-25 22:44:10,4225990116481262579,fraud_Gottlieb Group,kids_pets,50.95,M,Honokaa,HI,96727,20.0827,-155.488,4878,Physiotherapist,cc06763735945dcaefcdb5290a1f8113,1372200250,20.914429,-154.903335,0,22,3,6,53,110.73,5849933e8f20d5783aa66769a64273d059aed22c6364537c22110f2660d584df,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-26 04:05:41,4742883543039288059,fraud_Emard Inc,gas_transport,82.6,F,Paauilo,HI,96776,20.0271,-155.3697,1490,"Scientist, research (maths)",ff3edb77e3a3ea0a38530f970f6ca1bf,1372219541,19.580409,-155.05402,0,4,4,6,29,59.65,a2b6d36b7b2751e0e58cfde3cd0d1f201c0eb337b58543a78fe9937a2d7ebf51,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-26 12:07:37,4742883543039288059,fraud_Hills-Witting,shopping_net,9.49,F,Paauilo,HI,96776,20.0271,-155.3697,1490,"Scientist, research (maths)",c9b8387bf1426bfc1582b41682cec567,1372248457,20.927248,-155.79658500000002,0,12,4,6,29,109.53,a2b6d36b7b2751e0e58cfde3cd0d1f201c0eb337b58543a78fe9937a2d7ebf51,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-26 14:24:24,4742883543039288059,fraud_Johns Inc,entertainment,4.23,F,Paauilo,HI,96776,20.0271,-155.3697,1490,"Scientist, research (maths)",1d4dceb882d24c8b2ae7d1c15c462b96,1372256664,19.743968,-154.581603,0,14,4,6,29,88.22,a2b6d36b7b2751e0e58cfde3cd0d1f201c0eb337b58543a78fe9937a2d7ebf51,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-26 17:00:17,4742883543039288059,"fraud_Monahan, Bogisich and Ledner",misc_pos,13.76,F,Paauilo,HI,96776,20.0271,-155.3697,1490,"Scientist, research (maths)",1644fa23f0b967ec165b44f4b66e5339,1372266017,20.056062,-156.207157,0,17,4,6,29,87.54,a2b6d36b7b2751e0e58cfde3cd0d1f201c0eb337b58543a78fe9937a2d7ebf51,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
